model,1 = K12  Absorption rate constant,2 = V2  Central volume of distribution of sunitinib,3 = QH  Hepatic blood flow,4 = CLP  Clearance of sunitinib,5 = CLM  Clearance of SU12662,6 = V3  Central volume of distribution of SU12662,7 = Q34  Inter-compartmental clearance of SU12662,8 = V4  Peripheral volumes of distribution of SU12662,9 = FM  Fraction of sunitinib converted to SU12662,10 = Q25  Inter-compartmental clearance of Sunitinib,11 = V5  Peripheral volumes of distribution of Sunitinib,12 =  Prop. Error Suni,13 = Prop. Error Metab,1 IIV V2,"OMEGA(2,1)",2 IIV V3,"OMEGA(3,1)","OMEGA(3,2)",3 IIV CLP,"OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)",4 IIV FM,Proportional error sunitinib,Proportional error SU12662,ofv,minimization.successful,covariance_step_run,minimization_successful,covariance_step_successful,covariance_step_warnings,estimate_near_boundary,rounding_errors,zero_gradients,final_zero_gradients,hessian_reset,s_matrix_singular,significant_digits,CPU-time [s],subprob_est_time,subprob_cov_time
57,0.108902513,1549.009393,80,34.38125756,14.34498396,716.3719646,2.909002447,813.3341573,0.21,0.399962029,588,-0.366637,-0.281007,0.060132797,0.055925468,0.232417659,0,-0.0613107,0.072970211,0,0,-0.042057,0.080604572,1,1,-501.0772324,1,1,1,1,0,0,0,0,0,1,0,2.3,,180.85,162.86
58,0.118723667,1717.315035,80,53.21344003,16.52115818,834.122903,2.467591737,422.2302232,0.21,0.287156835,588,-0.366637,-0.281007,0.051551718,0.034378427,0.21128659,0,-0.0613107,0.082790064,0,0,-0.042057,0.099754057,1,1,-501.0771454,1,1,1,1,0,0,0,0,0,0,0,2.7,,131.66,168.11
59,0.13125928,1723.095503,80,28.47638761,16.64022083,790.3904225,3.901012594,541.0395258,0.21,0.351945169,588,-0.366637,-0.281007,0.053964969,0.039628067,0.132666423,0,-0.0613107,0.077982059,0,0,-0.042057,0.104081492,1,1,-501.0771569,1,1,1,1,0,0,0,0,0,0,0,2.4,,120.33,165.57
60,0.11742847,1735.296794,80,35.77002104,15.71755124,1208.885885,2.198599336,558.7371908,0.21,0.298708132,588,-0.366637,-0.281007,0.057414857,0.062728905,0.162254642,0,-0.0613107,0.098207506,0,0,-0.042057,0.110768225,1,1,-501.0772112,1,1,1,1,0,0,0,0,0,0,0,2.2,,141.82,170.92
61,0.11326037,1833.444983,80,43.17157334,13.59728924,748.1588142,2.323972751,755.9043317,0.21,0.29844934,588,-0.366637,-0.281007,0.064679772,0.045782474,0.161275739,0,-0.0613107,0.072245448,0,0,-0.042057,0.114026232,1,1,-501.0772629,1,1,1,1,0,0,0,0,0,0,0,2.7,,213.38,159.09
62,0.109798496,2330.64279,80,35.68535747,18.38099165,928.7380168,3.48364298,628.4284586,0.21,0.301000003,588,-0.366637,-0.281007,0.061388055,0.053707837,0.171830815,0,-0.0613107,0.138993617,0,0,-0.042057,0.09182452,1,1,-501.0769728,1,1,1,1,0,0,0,0,0,0,0,2.2,,143.48,162.11
63,0.093737069,2855.306393,80,38.02408075,22.10425344,823.4504881,3.076570706,826.4146795,0.21,0.483959843,588,-0.366637,-0.281007,0.072275511,0.054415899,0.168201186,0,-0.0613107,0.113532749,0,0,-0.042057,0.091833361,1,1,-501.0772343,1,1,1,1,0,0,0,0,0,0,0,2.2,,152.85,166.25
64,0.134702901,1472.65918,80,26.65629244,15.86950533,385.2482453,3.428598914,601.6076262,0.21,0.40011148,588,-0.366637,-0.281007,0.046477434,0.051442259,0.1955106,0,-0.0613107,0.097506954,0,0,-0.042057,0.08193375,1,1,-501.0772779,1,1,1,1,0,0,0,0,0,0,0,2.3,,152.77,169.78
65,0.149406948,1900.992733,80,18.49305431,17.56023835,637.3569139,2.643948967,581.3830688,0.21,0.446131105,588,-0.366637,-0.281007,0.092405278,0.043631604,0.156001758,0,-0.0613107,0.086629503,0,0,-0.042057,0.101060783,1,1,-501.0771117,1,1,1,1,0,0,0,0,0,0,0,2.3,,287.81,164.48
66,0.136136878,1875.757888,80,30.67322292,15.53173945,1111.06367,1.798610593,897.5708937,0.21,0.283111387,588,-0.366637,-0.281007,0.05351344,0.031473573,0.240052038,0,-0.0613107,0.097617357,0,0,-0.042057,0.087570002,1,1,-501.0772658,1,1,1,1,0,0,0,0,0,0,0,2.5,,169.14,158.21
