run,ay2,ay3,CLM_pop,CLP_pop,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711294511_18576,0.731664474778219,0.611075828420378,2.99453691709192,2.48312925464796,-1.56065,-4.15007407464281,0.299149500230348,0.255846850301741,0.154881518320713,0.29510812334744,-1.21786171347659,0.825105510386948,5.58356284515769,6.83599409247068,6.55457194943876
1711283923_91126,0.731365724922841,0.618327035745867,4.35203834703848,2.31822056929885,-1.56065,-4.16581745802789,0.309921759646807,0.242760268885522,0.161634331086323,0.232486147186509,-1.30202734533557,2.14153356660511,5.39582284549931,8.19308986396484,7.91899474322453
1711331549_0558,0.730561640098245,0.621148202989395,2.54823488028518,2.14985602145569,-1.56065,-4.15390472217552,0.266577978900587,0.219438267031705,0.23888227321842,0.230943414724592,-1.42759059689099,0.37594365184263,5.26147099113038,6.39285884783497,6.14561132114705
1711286868_99275,0.731049896179142,0.619908330880754,1.84735012650223,2.11734398637185,-1.56065,-4.15768306345613,0.189086930478675,0.236835807137651,0.323075316603503,0.226213824645213,-1.45313848858957,-0.35960101597103,5.23376402400616,5.69014483498321,5.45728026788072
1711298272_42919,0.730669181993699,0.621122084074019,4.00355881755269,1.80942697404931,-1.56065,-4.17431880928781,0.207739849665781,0.210339907501626,0.283837354276263,0.253435166272781,-1.62046794054915,1.79583917514287,4.90244045764085,7.86834242582687,7.58256935096244
1711297639_75083,0.733316185452002,0.621518468844448,3.0246548031525,1.77188933236646,-1.56065,-4.17253009181179,0.203724892952522,0.202918535064713,0.317944356672825,0.246559367184118,-1.66024036125344,0.81607911232749,4.88720483071902,6.87592694064512,6.62653337099577
1711312723_91873,0.731300579289328,0.623299360580744,3.30107614842467,1.74872776726935,-1.56065,-4.1710863757499,0.28742429433222,0.213859619316846,0.226516829148011,0.2324691919865,-1.62958689290621,1.09448140930754,4.84779025779615,7.15641616968926,6.8592858160866
1711313184_54569,0.728809404025707,0.620686107794531,3.46636240389324,1.72476064007791,-1.56065,-4.17317738609768,0.304983339860922,0.217644753971473,0.208723809480878,0.260118005669208,-1.66737652551002,1.22421181235822,4.83492103193775,7.32542535188492,7.03891847499042
1711311963_51649,0.730948917211261,0.620130087828145,4.72926221118732,1.74636745829203,-1.56065,-4.16649372668736,0.27048954851986,0.231404985903451,0.229943369406994,0.238397852517424,-1.64235027193962,2.51983126510335,4.85358104707377,8.58344504428895,8.29752023656356
1711304794_70151,0.730877512888507,0.625669232784495,2.1127505086305,1.60581617429717,-1.56065,-4.18243694424227,0.225090746918339,0.130467357491672,0.292074288673921,0.267269204165239,-1.74322073173189,-0.117733049896375,4.7041299036558,5.98739284978549,5.65657564047972
1711304202_39518,0.729840554094608,0.62217249838631,4.12223083822474,1.52486148108256,-1.56065,-4.1751322029808,0.307044772008553,0.229474560878324,0.192076192690939,0.243389131715448,-1.76631493774525,1.9019597090305,4.63076635043106,7.97115028356465,7.68630506370951
1711306483_5151,0.731621848635135,0.621435770214767,4.95130693170997,1.44349657537679,-1.56065,-4.1679824035009,0.306363519376703,0.21742364928147,0.211557729676811,0.237696027978507,-1.79976198641656,2.73338000083337,4.55566329801864,8.81094535746936,8.50185207529065
1711285477_70155,0.731957676207497,0.623025221653351,9.78956513831889,1.07145711357761,-1.56065,-4.18846243110446,0.268015060394983,0.218873026948618,0.255871640110115,0.235743232573969,-2.02960489091154,7.52773578675158,4.18290189501849,13.6516171812452,13.3774859174098
1711296507_03381,0.731429472466687,0.623064917928097,2.99803832080082,1.10624838346669,-1.56065,-4.167778108752,0.282237025598613,0.209925553361903,0.209143561579104,0.256502453227272,-2.00608577104978,0.81814381734373,4.23665957646888,6.85729674841111,6.55294878263408
1711300783_34875,0.734412639645236,0.616472048068184,2.80051503273917,0.964266909579025,-1.56065,-4.17366571958123,0.227786109041519,0.236727111779889,0.267052282288944,0.27411430211236,-2.08477480991676,0.598158772729236,4.09688264723543,6.6607519719525,6.35589030219704
1711298140_72615,0.73714793162719,0.618377735452903,5.55078389659244,0.744395674080883,-1.56065,-4.18826307167615,0.321244339031896,0.223423873668919,0.122121789458691,0.277486685752432,-2.17770516046278,3.31872501400266,3.8558931132498,9.42351569052982,9.08442028701195
1711312551_99532,0.731531551386598,0.62272886276438,4.54418880685703,0.66743133593312,-1.56065,-4.17239292772188,0.248184276744102,0.234338543574578,0.262807548294352,0.247270796576871,-2.25177858977925,2.33794316781079,3.80821637516814,8.41305524960254,8.11316838585572
1711303060_08508,0.731323240268746,0.620917658101764,2.8584101606268,0.593789004344934,-1.56065,-4.17112971066643,0.155421954426014,0.213227492784379,0.346615785337532,0.263600992797416,-2.28114104284791,0.621123059447542,3.7409006336433,6.73846561745312,6.42708405691635
1711310965_81605,0.733756532479848,0.622254819637171,2.65753549532363,0.424352014737487,-1.56065,-4.188757911507,0.333278560266094,0.222551349117257,0.140916250463202,0.265177060629395,-2.34749013788131,0.424211858107705,3.54213941674885,6.53063742014297,6.183738770745
1711309740_86504,0.733652695688282,0.621617267302509,2.50932605005723,0.10255208817764,-1.56065,-4.19322708850154,0.277786069702255,0.229648432903699,0.217401415919276,0.252858695338057,-2.53683770422363,0.247220862742455,3.22683345411875,6.40620756130727,6.05459805147084
1711309461_13821,0.754905061572297,0.656035924382651,3.54373214266654,2.22792537027594,-1.56065,-4.18852302487687,0.21527698792277,0.212428577207986,0.291669367046552,0.269827178509369,-0.92853328300658,-5.49536040467356,5.25584350782003,7.59983868019889,-0.173249659767829
1711284610_43702,0.757389085830877,0.653027990566578,8.72706543759965,2.23347959470944,-1.56065,-4.18568780324587,0.245078339347025,0.235655665622558,0.272524611448345,0.267706309619966,-0.926742821237929,-11.7301200443178,5.27157345233221,12.7900128745785,-48.2000864019516
1711287473_06611,0.761514978960172,0.658894209729896,3.81355427422417,2.01425281893856,-1.56065,-4.20167873368079,0.326378854739031,0.227880848585005,0.120491855639973,0.237614055712587,-1.01834907929028,3.81349878949571,5.02117282961259,8.5574469083906,5763.12094194695
1711296271_29895,0.753670919763148,0.652203356465067,6.88356244509143,2.7746574788586,-1.56065,-4.15984601671399,0.274302542147705,0.270401986317338,0.237071005364426,0.274850258938804,-0.562905906700901,0.0789274746846134,5.80538727199513,10.9570737688243,-35.9518642487108
1711305940_2736,0.748471956140106,0.699814737765719,5.51860841905048,2.11881428876143,-1.56065,-4.28703415230477,0.351731217361203,0.163787380412928,0.118180646796424,0.251399874087425,-1.16975975119949,9.04842039531783,5.13570005787608,9.545093213805,-52.1280647437544
1711286084_28742,0.741000867752361,0.78843745319203,6.75348143118054,2.84555720329612,-1.56065,-4.17855598933707,0.302460516903217,0.183981628042004,0.198534638859672,0.185693619671606,-0.673293219481438,0.582408017681254,5.8822082535922,10.8157561590213,-102.46346694984
1711310726_12342,0.815033931419721,0.630544142999721,-8.13981561742934,3.51836745846061,-1.56065,-4.4465669515409,0.165594774911643,0.170266822119251,0.422202591476044,0.250605079702879,-450.632110492377,6.50764455944505,6.60507257625146,10.3130222750211,16.8474873395046
1711307003_49194,0.736243577859716,0.862199562662765,8.33881544072831,1.8451345706687,-1.56065,-4.24669567011329,0.29338451997513,0.206865595878027,0.232058036912555,0.189921547476159,-1.40683949582866,9.76141735909197,4.89770481838487,12.3960535560945,-75.5795244251986
